timestamp,amount,merchant_code,account_age_days,is_fraud
2024-01-01 00:00:00,113.85,1003,4029,0
2024-01-01 01:00:00,622.02,1004,4237,0
2024-01-01 02:00:00,283.35,1003,939,0
2024-01-01 03:00:00,202.59,1004,3022,0
2024-01-01 04:00:00,53.92,1004,1515,0
2024-01-01 05:00:00,53.92,1003,4739,0
2024-01-01 06:00:00,31.97,1002,2954,0
2024-01-01 07:00:00,422.25,1004,2829,0
2024-01-01 08:00:00,203.82,1003,1194,0
2024-01-01 09:00:00,266.25,1001,298,0
2024-01-01 10:00:00,24.16,1003,1821,0
2024-01-01 11:00:00,720.71,1001,537,0
2024-01-01 12:00:00,377.29,1004,926,0
2024-01-01 13:00:00,67.74,1003,1718,0
2024-01-01 14:00:00,60.14,1003,3584,0
2024-01-01 15:00:00,60.52,1001,3329,0
2024-01-01 16:00:00,92.55,1003,1416,0
2024-01-01 17:00:00,168.79,1003,1251,0
2024-01-01 18:00:00,133.11,1004,3143,0
2024-01-01 19:00:00,88.84,1003,808,0
2024-01-01 20:00:00,209.27,1002,1533,0
2024-01-01 21:00:00,50.05,1001,4117,0
2024-01-01 22:00:00,89.1,1003,4938,0
2024-01-01 23:00:00,111.26,1001,2898,0
2024-01-02 00:00:00,141.79,1001,2700,0
2024-01-02 01:00:00,327.59,1001,4101,0
2024-01-02 02:00:00,64.55,1003,1251,0
2024-01-02 03:00:00,164.41,1003,700,0
2024-01-02 04:00:00,199.5,1001,537,0
2024-01-02 05:00:00,29.51,1002,1505,0
2024-01-02 06:00:00,207.07,1001,3835,0
2024-01-02 07:00:00,57.39,1002,2903,0
2024-01-02 08:00:00,33.45,1001,902,0
2024-01-02 09:00:00,614.74,1004,396,0
2024-01-02 10:00:00,694.13,1001,1259,0
2024-01-02 11:00:00,350.47,1001,2538,0
2024-01-02 12:00:00,92.66,1003,4513,0
2024-01-02 13:00:00,40.56,1002,3538,0
2024-01-02 14:00:00,250.55,1004,907,0
2024-01-02 15:00:00,136.02,1002,720,0
2024-01-02 16:00:00,46.03,1004,3705,0
2024-01-02 17:00:00,156.71,1001,2696,0
