timestamp,sensor1,sensor2,temperature,fault
2024-02-01 00:00:00,50.709,24.977,41.292,0
2024-02-01 01:00:00,50.262,25.01,39.455,0
2024-02-01 02:00:00,48.565,25.246,39.303,0
2024-02-01 03:00:00,49.381,24.985,39.519,0
2024-02-01 04:00:00,50.25,24.062,40.418,0
2024-02-01 05:00:00,51.612,26.096,39.39,0
2024-02-01 06:00:00,51.063,25.597,39.876,0
2024-02-01 07:00:00,49.532,24.353,38.719,0
2024-02-01 08:00:00,50.659,24.822,40.385,0
2024-02-01 09:00:00,52.917,24.875,38.786,0
2024-02-01 10:00:00,51.11,25.53,39.254,0
2024-02-01 11:00:00,50.771,23.909,40.974,0
2024-02-01 12:00:00,51.689,24.738,40.944,0
2024-02-01 13:00:00,52.06,24.104,40.299,0
2024-02-01 14:00:00,50.94,24.84,40.221,0
2024-02-01 15:00:00,51.997,24.744,39.575,0
2024-02-01 16:00:00,51.265,25.017,39.382,0
2024-02-01 17:00:00,52.411,24.672,39.71,0
2024-02-01 18:00:00,51.96,24.595,38.789,0
2024-02-01 19:00:00,52.371,25.277,40.202,0
2024-02-01 20:00:00,51.228,25.191,40.039,0
2024-02-01 21:00:00,51.264,25.236,39.253,0
2024-02-01 22:00:00,53.128,24.868,41.255,0
2024-02-01 23:00:00,52.201,24.667,40.486,0
2024-02-02 00:00:00,52.663,24.889,40.553,0
2024-02-02 01:00:00,52.168,25.194,39.61,0
2024-02-02 02:00:00,53.47,23.851,39.999,0
2024-02-02 03:00:00,52.06,25.132,40.502,0
2024-02-02 04:00:00,52.628,25.084,40.122,0
2024-02-02 05:00:00,53.646,24.956,41.282,0
2024-02-02 06:00:00,54.129,24.845,39.837,0
2024-02-02 07:00:00,52.527,23.631,39.596,0
2024-02-02 08:00:00,55.106,24.688,40.507,0
2024-02-02 09:00:00,53.554,25.797,38.988,0
2024-02-02 10:00:00,52.293,24.903,40.739,0
2024-02-02 11:00:00,53.799,24.736,38.959,0
2024-02-02 12:00:00,53.14,24.892,40.511,0
2024-02-02 13:00:00,54.051,25.055,39.481,0
2024-02-02 14:00:00,53.667,25.2,40.381,0
2024-02-02 15:00:00,53.877,24.749,40.726,0
2024-02-02 16:00:00,52.983,25.069,40.123,0
2024-02-02 17:00:00,54.977,25.688,39.04,0
2024-02-02 18:00:00,52.922,25.345,39.283,0
2024-02-02 19:00:00,53.061,26.005,39.417,0
2024-02-02 20:00:00,54.628,24.498,38.484,0
2024-02-02 21:00:00,55.953,25.657,40.902,0
2024-02-02 22:00:00,54.088,24.415,40.088,0
2024-02-02 23:00:00,55.231,24.979,39.092,0
2024-02-03 00:00:00,55.692,25.16,41.165,0
